state,sector,year,inspections_conducted,irregularities_detected,prosecutions,convictions,complaints_received,claims_awarded,current_min_wage_rate,irregularity_rate,risk_label
Bihar,Agriculture & Allied,2018,252,88,3,1,3,2,369.0,0.3492,Low
Bihar,Agriculture & Allied,2019,0,0,0,0,0,0,369.0,0.0,Low
Bihar,Agriculture & Allied,2020,0,0,0,0,0,0,369.0,0.0,Low
Bihar,Agriculture & Allied,2021,186,76,3,1,2,1,369.0,0.4086,Low
Bihar,Agriculture & Allied,2022,228,101,4,2,3,2,369.0,0.443,Low
Bihar,Construction,2018,924,578,22,8,23,13,394.0,0.6255,Low
Bihar,Construction,2019,0,0,0,0,0,0,394.0,0.0,Low
Bihar,Construction,2020,0,0,0,0,0,0,394.0,0.0,Low
Bihar,Construction,2021,682,495,16,6,18,10,394.0,0.7258,Low
Bihar,Construction,2022,836,660,25,11,29,16,394.0,0.7895,Low
Bihar,Domestic Work,2018,168,118,4,2,4,2,374.0,0.7024,Low
Bihar,Domestic Work,2019,0,0,0,0,0,0,374.0,0.0,Low
Bihar,Domestic Work,2020,0,0,0,0,0,0,374.0,0.0,Low
Bihar,Domestic Work,2021,124,101,3,1,4,2,374.0,0.8145,Low
Bihar,Domestic Work,2022,152,134,5,2,6,3,374.0,0.8816,Low
Bihar,Hospitality & Food Services,2018,420,241,9,3,10,6,384.0,0.5738,Low
Bihar,Hospitality & Food Services,2019,0,0,0,0,0,0,384.0,0.0,Low
Bihar,Hospitality & Food Services,2020,0,0,0,0,0,0,384.0,0.0,Low
Bihar,Hospitality & Food Services,2021,310,207,7,2,8,4,384.0,0.6677,Low
Bihar,Hospitality & Food Services,2022,380,276,10,5,12,7,384.0,0.7263,Low
Bihar,Manufacturing & Factories,2018,756,321,12,5,14,8,392.0,0.4246,Low
Bihar,Manufacturing & Factories,2019,0,0,0,0,0,0,392.0,0.0,Low
Bihar,Manufacturing & Factories,2020,0,0,0,0,0,0,392.0,0.0,Low
Bihar,Manufacturing & Factories,2021,558,275,9,3,10,6,392.0,0.4928,Low
Bihar,Manufacturing & Factories,2022,684,367,14,6,16,9,392.0,0.5365,Low
Bihar,Retail & Commercial,2018,840,399,15,6,16,9,389.0,0.475,Low
Bihar,Retail & Commercial,2019,0,0,0,0,0,0,389.0,0.0,Low
Bihar,Retail & Commercial,2020,0,0,0,0,0,0,389.0,0.0,Low
Bihar,Retail & Commercial,2021,620,342,11,4,13,7,389.0,0.5516,Low
Bihar,Retail & Commercial,2022,760,456,17,8,20,11,389.0,0.6,Low
Bihar,Security & Facility,2018,504,340,13,5,14,8,404.0,0.6746,Low
Bihar,Security & Facility,2019,0,0,0,0,0,0,404.0,0.0,Low
Bihar,Security & Facility,2020,0,0,0,0,0,0,404.0,0.0,Low
Bihar,Security & Facility,2021,372,292,10,3,11,6,404.0,0.7849,Low
Bihar,Security & Facility,2022,456,389,15,6,18,10,404.0,0.8531,Low
Bihar,Transport & Logistics,2018,336,185,7,3,5,3,394.0,0.5506,Low
Bihar,Transport & Logistics,2019,0,0,0,0,0,0,394.0,0.0,Low
Bihar,Transport & Logistics,2020,0,0,0,0,0,0,394.0,0.0,Low
Bihar,Transport & Logistics,2021,248,158,5,2,4,2,394.0,0.6371,Low
